ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,,Address,Delivery time,Food type,,,,,,,,,,,,,,,,,,,,,,
2964,Andheri East,Mumbai,Sai Leela,500,4.2,20,,Andheri East,63,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
3007,Bhowanipore,Kolkata,Tandoori Darbar,500,4.4,100,,Hazra Road,71,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
3010,Ballygunge,Kolkata,Ballygunge Dhaba,500,4.3,500,,Ballygunge,59,North Indian,Biryani,,,,,,,,,,,,,,,,,,,,,
3018,Gariahat,Kolkata,Tero Parbon,500,4.3,100,,Purna Das Road Hindustan Park,72,Bengali,,,,,,,,,,,,,,,,,,,,,,
3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,700,4.3,100,,Purnadas Road,76,Continental,American,,,,,,,,,,,,,,,,,,,,,
3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500,4.3,1000,,Ballygunge Gardens,67,Biryani,Mughlai,,,,,,,,,,,,,,,,,,,,,
3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,500,2.9,80,,Gariahat Road Gariahat,70,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
3031,Ballygunge,Kolkata,Sharma Dhaba,300,4.2,1000,,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese,,,,,,,,,,,,,,,,,,,,,,
3063,Indiranagar,Bangalore,Kund Indian Barbeque,200,4.2,100,,1St Stage,58,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500,4.3,1000,,Sarat Bose Road Paddapukur,60,North Indian,Indian,,,,,,,,,,,,,,,,,,,,,
3074,Kalighat,Kolkata,Tamarind,1100,4.4,100,,Sarat Bose Road Desapriya Park,73,North Indian,South Indian,,,,,,,,,,,,,,,,,,,,,
3207,Pulikeshi Nagar,Bangalore,Pathaan Sir,300,4.2,100,,Coles Road,47,Fast Food,,,,,,,,,,,,,,,,,,,,,,
3265,Indiranagar,Bangalore,Chaipatty,200,3.9,50,,Hanumanthanagar,56,Fast Food,Beverages,,,,,,,,,,,,,,,,,,,,,
3279,Powai Area,Mumbai,5 Spice,1100,4.2,500,,Powai Area,53,Chinese,Desserts,,,,,,,,,,,,,,,,,,,,,
3324,Punjagutta,Hyderabad,Srikanya,250,4.1,1000,,Punjagutta Road,56,Andhra,Seafood,,,,,,,,,,,,,,,,,,,,,
3326,Sion,Mumbai,Cafe Vrindavan,500,4.3,100,,Sion Station,42,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
3329,Mumbai,Mumbai,Ramdeo,450,4,500,,Sion Station,44,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
3331,Mumbai,Mumbai,Shabari,400,3.9,100,,Sion West,48,North Indian,South Indian,,,,,,,,,,,,,,,,,,,,,
3332,Rajajinagar,Bangalore,The Purple Pan,400,4.1,1000,,Dr. Rajkumar Road,56,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500,2.9,80,,Lakeview,50,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
3369,Ashok Nagar,Bangalore,Truffles,450,4.5,1000,,St. Marks Road,29,American,Desserts,,,,,,,,,,,,,,,,,,,,,
3439,Golpark,Kolkata,The Grub Club,400,4.3,1000,,Golpark,69,Italian,Chinese,,,,,,,,,,,,,,,,,,,,,
3454,Koramangala,Bangalore,Lazeez,500,4.2,500,,5Th Block,55,North Indian,Mughlai,,,,,,,,,,,,,,,,,,,,,
3531,Shivajinagar,Pune,Marrakesh,300,4,100,,Fc Road,46,Lebanese,North Indian,,,,,,,,Middle Eastern,Desserts,,,,,,,,,,,,
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,150,4.2,500,,Road No 2,65,Sweets,Bakery,,,,,,,,,,,,,,,,,,,,,
3813,Gariahat,Kolkata,Kimli,600,4.4,100,,Purnadas Road,69,Chinese,Seafood,,,,,,,,,,,,,,,,,,,,,
